id,truncated,total connections,actual connections,appearance count,correct appearances,incorrect appearances,vocab
4049,FALSE,77,78,84,0,84,/m/07rd7
,,,,,,,
4669,FALSE,94,95,84,0,84,/m/05hjnw
,,,,,,,
6582,FALSE,140,141,84,0,84,/m/018wdw
,,,,,,,
6616,FALSE,62,63,84,0,84,/m/0cwx_
,,,,,,,
6656,FALSE,39,40,84,0,84,/m/0cgbf
,,,,,,,
11013,FALSE,13,14,84,0,84,/m/0mwkp
,,,,,,,
12765,FALSE,8,9,84,0,84,/m/0l8bg
,,,,,,,
895,FALSE,69,70,83,0,83,/m/092vkg
,,,,,,,
1108,FALSE,41,42,83,0,83,/m/03kwtb
,,,,,,,
1195,FALSE,123,124,83,0,83,/m/048lv
,,,,,,,
1287,FALSE,119,120,83,0,83,/m/01c6qp
,,,,,,,
1909,FALSE,93,94,83,0,83,/m/01kv4mb
,,,,,,,
2090,FALSE,70,71,83,0,83,/m/07wrz
,,,,,,,
2120,FALSE,49,50,83,0,83,/m/0jt90f5
,,,,,,,
2216,FALSE,120,121,83,0,83,/m/0237fw
,,,,,,,
2250,FALSE,119,120,83,0,83,/m/02x4x18
,,,,,,,
2424,FALSE,73,74,83,0,83,/m/043js
,,,,,,,
3335,FALSE,86,87,83,0,83,/m/03yj_0n
,,,,,,,
4386,FALSE,35,36,83,0,83,/m/0jsqk
,,,,,,,
4955,FALSE,57,58,83,0,83,/m/01pq5j7
,,,,,,,
5463,FALSE,44,45,83,0,83,/m/0h21v2
,,,,,,,
7711,FALSE,1,2,83,0,83,/m/03ljr
,,,,,,,
8402,FALSE,99,100,83,0,83,/m/04rlf
,,,,,,,
8721,FALSE,50,51,83,0,83,/m/0k9j_
,,,,,,,
11976,FALSE,14,15,83,0,83,/m/041pnt
,,,,,,,
1436,FALSE,86,87,82,0,82,/m/01l2fn
,,,,,,,
2295,FALSE,54,55,82,0,82,/m/0bmh4
,,,,,,,
3170,FALSE,75,76,82,0,82,/m/09g7vfw
,,,,,,,
4056,FALSE,112,113,82,0,82,/m/0g26h
,,,,,,,
4210,FALSE,136,137,82,0,82,/m/01vw20h
,,,,,,,
4214,FALSE,40,41,82,0,82,/m/0d05fv
,,,,,,,
4763,FALSE,23,24,82,0,82,/m/05y5fw
,,,,,,,
5781,FALSE,27,28,82,0,82,/m/0g5ff
,,,,,,,
6010,FALSE,45,46,82,0,82,/m/01645p
,,,,,,,
6478,FALSE,88,89,82,0,82,/m/0_jm
,,,,,,,
6993,FALSE,20,21,82,0,82,/m/02j04_
,,,,,,,
9420,FALSE,24,25,82,0,82,/m/01l_yg
,,,,,,,
10605,FALSE,30,31,82,0,82,/m/01wk3c
,,,,,,,
10753,FALSE,20,21,82,0,82,/m/03zrp
,,,,,,,
12797,FALSE,5,6,82,0,82,/m/0133k0
,,,,,,,
658,FALSE,84,85,81,0,81,/m/0jzw
,,,,,,,
2236,FALSE,22,23,81,0,81,/m/03lrqw
,,,,,,,
4414,FALSE,86,87,81,0,81,/m/024bbl
,,,,,,,
4569,FALSE,56,57,81,0,81,/m/0837ql
,,,,,,,
4990,FALSE,25,26,81,0,81,/m/0bv7t
,,,,,,,
6093,FALSE,51,52,81,0,81,/m/03v1w7
,,,,,,,
11954,FALSE,4,5,81,0,81,/m/01cpkt
,,,,,,,
13821,FALSE,2,3,81,0,81,/m/05j9_f
,,,,,,,
13846,FALSE,4,5,81,0,81,/m/057cc
,,,,,,,
14312,FALSE,5,6,81,0,81,/m/03x9yr
,,,,,,,
33,FALSE,78,79,80,0,80,/m/02s2ft
,,,,,,,
102,FALSE,52,53,80,0,80,/m/04qvl7
,,,,,,,
1027,FALSE,98,99,80,0,80,/m/01vrt_c
,,,,,,,
1785,FALSE,39,40,80,0,80,/m/01wsl7c
,,,,,,,
2514,FALSE,141,142,80,0,80,/m/0219x_
,,,,,,,
3228,FALSE,60,61,80,0,80,/m/05k17c
,,,,,,,
3744,FALSE,99,100,80,0,80,/m/03hmt9b
,,,,,,,
4060,FALSE,52,53,80,0,80,/m/0fby2t
,,,,,,,
4091,FALSE,70,71,80,0,80,/m/06wxw
,,,,,,,
5088,FALSE,87,88,80,0,80,/m/0jzc
,,,,,,,
7263,FALSE,32,33,80,0,80,/m/02gpkt
,,,,,,,
12185,FALSE,1,2,80,0,80,/m/02fr2d
,,,,,,,
12188,FALSE,3,4,80,0,80,/m/09xzd
,,,,,,,
13202,FALSE,1,2,80,0,80,/m/02np2n
,,,,,,,
13260,FALSE,1,2,80,0,80,/m/06953q
,,,,,,,
13656,FALSE,1,2,80,0,80,/m/02b1zs
,,,,,,,
13712,FALSE,1,2,80,0,80,/m/0703j
,,,,,,,
13942,FALSE,1,2,80,0,80,/m/07lk3
,,,,,,,
14023,FALSE,1,2,80,0,80,/m/02q3s
,,,,,,,
14169,FALSE,1,2,80,0,80,/m/027dcbn
,,,,,,,
14391,FALSE,1,2,80,0,80,/m/0jfx
,,,,,,,
14395,FALSE,1,2,80,0,80,/m/07vzd
,,,,,,,
14448,FALSE,1,2,80,0,80,/m/0bwgmzd
,,,,,,,
14465,FALSE,1,2,80,0,80,/m/0gwj
,,,,,,,
14471,FALSE,1,2,80,0,80,/m/02656h
,,,,,,,
14485,FALSE,1,2,80,0,80,/m/07jqvw
,,,,,,,
14491,FALSE,1,2,80,0,80,/m/01qynv
,,,,,,,
14492,FALSE,1,2,80,0,80,/m/0h9xl
,,,,,,,
14493,FALSE,1,2,80,0,80,/m/01803s
,,,,,,,
1254,FALSE,37,38,79,0,79,/m/0292l3
,,,,,,,
1596,FALSE,34,35,79,0,79,/m/08hp53
,,,,,,,
2368,FALSE,34,35,79,0,79,/m/0qf3p
,,,,,,,
2801,FALSE,92,93,79,0,79,/m/02sp_v
,,,,,,,
3517,FALSE,59,60,79,0,79,/m/01pq4w
,,,,,,,
4005,FALSE,43,44,79,0,79,/m/05sns6
,,,,,,,
4296,FALSE,108,109,79,0,79,/m/0dzf_
,,,,,,,
6000,FALSE,67,68,79,0,79,/m/01_f_5
,,,,,,,
6699,FALSE,74,75,79,0,79,/m/03mp9s
,,,,,,,
7032,FALSE,122,123,79,0,79,/m/04sry
,,,,,,,
175,FALSE,17,18,78,0,78,/m/06wzvr
,,,,,,,
1672,FALSE,58,59,78,0,78,/m/06x58
,,,,,,,
2033,FALSE,124,125,78,0,78,/m/02x8n1n
,,,,,,,
2096,FALSE,60,61,78,0,78,/m/0lccn
,,,,,,,
2213,FALSE,35,36,78,0,78,/m/01vvpjj
,,,,,,,
4634,FALSE,63,64,78,0,78,/m/0lyjf
,,,,,,,
5117,FALSE,46,47,78,0,78,/m/03cd0x
,,,,,,,
5245,FALSE,46,47,78,0,78,/m/027b9ly
,,,,,,,
6396,FALSE,126,127,78,0,78,/m/01t_vv
,,,,,,,
6737,FALSE,32,33,78,0,78,/m/0_9wr
,,,,,,,
7517,FALSE,49,50,78,0,78,/m/03q45x
,,,,,,,
8580,FALSE,30,31,78,0,78,/m/063_j5
,,,,,,,
152,FALSE,86,87,77,0,77,/m/06_kh
,,,,,,,
335,FALSE,107,108,77,0,77,/m/0789_m
,,,,,,,
947,FALSE,157,158,77,0,77,/m/09pmkv
,,,,,,,
1600,FALSE,73,74,77,0,77,/m/0g9wdmc
,,,,,,,
1878,FALSE,53,54,77,0,77,/m/01hqhm
,,,,,,,
3602,FALSE,57,58,77,0,77,/m/01_xtx
,,,,,,,
4364,FALSE,71,72,77,0,77,/m/0315q3
,,,,,,,
4405,FALSE,62,63,77,0,77,/m/07tds
,,,,,,,
4692,FALSE,15,16,77,0,77,/m/096gm
,,,,,,,
5809,FALSE,25,26,77,0,77,/m/09s5q8
,,,,,,,
6473,FALSE,54,55,77,0,77,/m/0372j5
,,,,,,,
6638,FALSE,64,65,77,0,77,/m/01f7dd
