id,truncated,total connections,actual connections,appearance count,correct appearances,incorrect appearances
10259,False,20,21,38,0,38
10260,False,6,7,4,0,4
10261,False,18,19,6,0,6
10262,False,18,19,13,1,12
10263,False,15,16,22,0,22
10264,False,14,15,19,1,18
10265,False,6,7,2,0,2
10266,False,31,32,92,2,90
10267,False,13,14,20,1,19
10268,False,26,27,44,1,43
10269,False,14,15,8,0,8
10270,False,8,9,7,0,7
10271,False,24,25,14,0,14
10272,False,9,10,8,4,4
10273,False,27,28,47,1,46
10274,False,6,7,4,0,4
10275,False,23,24,33,0,33
10276,False,12,13,4,0,4
10277,False,3,4,2,0,2
10278,False,28,29,34,0,34
10279,False,30,31,15,1,14
10280,False,31,32,9,0,9
10281,False,26,27,59,0,59
10282,False,10,11,8,0,8
10283,False,10,11,3,0,3
10284,False,37,38,12,0,12
10285,False,12,13,1,0,1
10286,False,12,13,1,0,1
10287,False,12,13,3,1,2
10288,False,15,16,6,0,6
10289,False,11,12,16,0,16
10290,False,4,5,4,0,4
10291,False,30,31,14,0,14
10292,False,11,12,17,0,17
10293,False,35,36,17,1,16
10294,False,29,30,31,0,31
10295,False,29,30,11,0,11
10296,False,27,28,88,5,83
10297,False,19,20,29,0,29
10298,False,14,15,20,1,19
10299,False,15,16,4,0,4
10300,False,6,7,5,0,5
10301,False,8,9,7,0,7
10302,False,20,21,31,0,31
10303,False,19,20,10,0,10
10304,False,44,45,37,1,36
10305,False,12,13,7,0,7
10306,False,13,14,11,0,11
10307,False,24,25,14,0,14
10308,False,27,28,31,0,31
10309,False,36,37,73,1,72
10310,False,18,19,16,0,16
10311,False,23,24,41,0,41
10312,False,22,23,21,1,20
10313,False,10,11,6,0,6
10314,False,35,36,21,0,21
10315,False,28,29,8,0,8
10316,False,31,32,20,0,20
10317,False,22,23,61,0,61
10318,False,27,28,16,0,16
10319,False,30,31,51,0,51
10320,False,12,13,37,0,37
10321,False,7,8,3,0,3
10322,False,15,16,9,0,9
10323,False,6,7,3,0,3
10324,False,16,17,41,0,41
10325,False,10,11,6,0,6
10326,False,15,16,9,0,9
10327,False,15,16,8,0,8
10328,False,26,27,21,0,21
10329,False,23,24,13,0,13
10330,False,7,8,0,0,0
10331,False,48,49,0,0,0
10332,False,6,7,7,0,7
10333,False,31,32,44,1,43
10334,False,26,27,58,0,58
10335,False,13,14,3,0,3
10336,False,25,26,36,1,35
10337,False,26,27,38,0,38
10338,False,22,23,29,0,29
10339,False,20,21,11,0,11
10340,False,11,12,14,1,13
10341,False,7,8,2,0,2
10342,False,35,36,38,2,36
10343,False,18,19,8,0,8
10344,False,44,45,30,1,29
10345,False,39,40,19,0,19
10346,False,21,22,26,0,26
10347,False,22,23,25,0,25
10348,False,34,35,75,3,72
10349,False,6,7,4,1,3
10350,False,14,15,11,0,11
10351,False,20,21,21,0,21
10352,False,10,11,1,0,1
10353,False,51,52,26,0,26
10354,False,10,11,2,1,1
10355,False,14,15,4,0,4
10356,False,17,18,5,0,5
10357,False,24,25,10,1,9
10358,False,15,16,5,0,5
10359,False,67,68,39,5,34
10360,False,10,11,5,0,5
10361,False,13,14,52,2,50
10362,False,34,35,21,1,20
10363,False,8,9,2,1,1
10364,False,25,26,40,0,40
10365,False,2,3,5,0,5
10366,False,8,9,8,0,8
10367,False,16,17,10,0,10
10368,False,10,11,29,0,29
10369,False,25,26,39,0,39
10370,False,23,24,11,0,11
10371,False,9,10,14,0,14
10372,False,14,15,58,0,58
10373,False,49,50,46,0,46
10374,False,6,7,5,0,5
10375,False,16,17,6,0,6
10376,False,15,16,3,0,3
10377,False,11,12,36,1,35
10378,False,27,28,45,3,42
10379,False,44,45,13,1,12
10380,False,30,31,21,2,19
10381,False,12,13,6,0,6
10382,False,16,17,30,0,30
10383,False,11,12,1,0,1
10384,False,4,5,3,0,3
10385,False,33,34,35,3,32
10386,False,23,24,16,0,16
10387,False,13,14,6,0,6
10388,False,16,17,10,0,10
10389,False,27,28,36,0,36
10390,False,24,25,18,0,18
10391,False,18,19,6,0,6
10392,False,20,21,7,0,7
10393,False,16,17,27,0,27
10394,False,18,19,32,0,32
10395,False,8,9,0,0,0
10396,False,20,21,16,0,16
10397,False,20,21,9,0,9
10398,False,4,5,3,0,3
10399,False,15,16,6,0,6
10400,False,21,22,10,0,10
10401,False,10,11,31,0,31
10402,False,26,27,26,0,26
10403,False,26,27,15,0,15
10404,False,31,32,74,0,74
10405,False,16,17,37,5,32
10406,False,11,12,12,0,12
10407,False,9,10,12,0,12
10408,False,9,10,4,0,4
10409,False,7,8,5,0,5
10410,False,6,7,6,0,6
10411,False,7,8,13,2,11
10412,False,11,12,11,0,11
10413,False,36,37,37,0,37
10414,False,11,12,6,1,5
10415,False,12,13,31,0,31
10416,False,30,31,15,0,15
10417,False,12,13,8,0,8
10418,False,12,13,8,0,8
10419,False,40,41,82,3,79
10420,False,16,17,10,1,9
10421,False,10,11,3,0,3
10422,False,1,2,1,0,1
10423,False,20,21,30,0,30
10424,False,27,28,20,0,20
10425,False,20,21,36,0,36
10426,False,9,10,34,0,34
10427,False,15,16,31,2,29
10428,False,12,13,2,0,2
10429,False,7,8,6,0,6
10430,False,32,33,8,0,8
10431,False,29,30,16,0,16
10432,False,7,8,2,0,2
10433,False,6,7,6,0,6
10434,False,21,22,50,0,50
10435,False,15,16,28,0,28
10436,False,22,23,14,0,14
10437,False,19,20,29,0,29
10438,False,9,10,3,1,2
10439,False,8,9,4,0,4
10440,False,6,7,4,0,4
10441,False,28,29,40,2,38
10442,False,3,4,5,0,5
10443,False,23,24,17,0,17
10444,False,13,14,2,0,2
10445,False,18,19,14,0,14
10446,False,11,12,3,0,3
10447,False,5,6,3,0,3
10448,False,5,6,9,2,7
10449,False,17,18,7,0,7
10450,False,51,52,48,0,48
